Relave,Mes,Cveginst
Talabre,1,205851395570.21
Talabre,2,206606184020.71
Talabre,3,207363740028.85
Talabre,4,208124073742.36
Talabre,5,208887195346.15
Talabre,6,209653115062.49
Talabre,7,210421843151.12
Talabre,8,211193389909.41
Talabre,9,211967765672.48
Talabre,10,212744980813.35
Talabre,11,213525045743.07
Talabre,12,214307970910.87
Pampa Austral,1,52935836680.03
Pampa Austral,2,53129934747.87
Pampa Austral,3,53324744508.63
Pampa Austral,4,53520268571.85
Pampa Austral,5,53716509556.63
Pampa Austral,6,53913470091.69
Pampa Austral,7,54111152815.38
Pampa Austral,8,54309560375.72
Pampa Austral,9,54508695430.45
Pampa Austral,10,54708560647.04
Pampa Austral,11,54909158702.77
Pampa Austral,12,55110492284.70
Potrerillos II,1,115383197.31
Potrerillos II,2,115806269.04
Potrerillos II,3,116230892.02
Potrerillos II,4,116657071.96
Potrerillos II,5,117084814.56
Potrerillos II,6,117514125.54
Potrerillos II,7,117945010.67
Potrerillos II,8,118377475.71
Potrerillos II,9,118811526.45
Potrerillos II,10,119247168.72
Potrerillos II,11,119684408.34
Potrerillos II,12,120123251.17
Ovejeria,1,157394295873.66
Ovejeria,2,157971408291.92
Ovejeria,3,158550636789.04
Ovejeria,4,159131989123.99
Ovejeria,5,159715473084.16
Ovejeria,6,160301096485.52
Ovejeria,7,160888867172.69
Ovejeria,8,161478793019.04
Ovejeria,9,162070881926.83
Ovejeria,10,162665141827.29
Ovejeria,11,163261580680.71
Ovejeria,12,163860206476.59
Caren,1,298072558581.45
Caren,2,299165491296.35
Caren,3,300262431431.20
Caren,4,301363393679.88
Caren,5,302468392790.14
Caren,6,303577443563.81
Caren,7,304690560856.98
Caren,8,305807759580.22
Caren,9,306929054698.78
Caren,10,308054461232.78
Caren,11,309183994257.40
Caren,12,310317668903.12
