Relaves,Mes,Cvegmant
Talabre,1,4480846616797
Talabre,2,4497276387726.75
Talabre,3,4513766401149.91
Talabre,4,4530316877955.63
Talabre,5,4546928039842.98
Talabre,6,4563600109323.92
Talabre,7,4580333309726.30
Talabre,8,4597127865196.82
Talabre,9,4613984000704.07
Talabre,10,4630901942041.53
Talabre,11,4647881915830.56
Talabre,12,4664924149523.48
Pampa Austral,1,98754990701573.00
Pampa Austral,2,99117092334178.40
Pampa Austral,3,99480521672770.10
Pampa Austral,4,99845283585603.40
Pampa Austral,5,100211382958784.00
Pampa Austral,6,100578824696333.00
Pampa Austral,7,100947613720253.00
Pampa Austral,8,101317754970594.00
Pampa Austral,9,101689253405520.00
Pampa Austral,10,102062114001374.00
Pampa Austral,11,102436341752747.00
Pampa Austral,12,102811941672541.00
Potrerillos II,1,2511590499.00
Potrerillos II,2,2520799664.16
Potrerillos II,3,2530042596.27
Potrerillos II,4,2539319419.12
Potrerillos II,5,2548630256.99
Potrerillos II,6,2557975234.60
Potrerillos II,7,2567354477.13
Potrerillos II,8,2576768110.21
Potrerillos II,9,2586216259.95
Potrerillos II,10,2595699052.90
Potrerillos II,11,2605216616.10
Potrerillos II,12,2614769077.03
Ovejeria,1,526827136748.00
Ovejeria,2,528758836249.59
Ovejeria,3,530697618649.34
Ovejeria,4,532643509917.90
Ovejeria,5,534596536121.11
Ovejeria,6,536556723420.40
Ovejeria,7,538524098073.12
Ovejeria,8,540498686432.90
Ovejeria,9,542480514950.00
Ovejeria,10,544469610171.67
Ovejeria,11,546465998742.48
Ovejeria,12,548469707404.72
Caren,1,1580451050659.00
Caren,2,1586246037845.28
Caren,3,1592062273317.90
Caren,4,1597899834987.27
Caren,5,1603758801049.42
Caren,6,1609639249987.14
Caren,7,1615541260570.96
Caren,8,1621464911860.26
Caren,9,1627410283204.29
Caren,10,1633377454243.24
Caren,11,1639366504909.35
Caren,12,1645377515427.89
