Fuentes,Mes,Wentrante
Laguna de Aguas Claras Tranque Talabre,1,28325
Laguna de Aguas Claras Tranque Talabre,2,28325
Laguna de Aguas Claras Tranque Talabre,3,27038
Laguna de Aguas Claras Tranque Talabre,4,25750
Laguna de Aguas Claras Tranque Talabre,5,24463
Laguna de Aguas Claras Tranque Talabre,6,23175
Laguna de Aguas Claras Tranque Talabre,7,23175
Laguna de Aguas Claras Tranque Talabre,8,24463
Laguna de Aguas Claras Tranque Talabre,9,25750
Laguna de Aguas Claras Tranque Talabre,10,27038
Laguna de Aguas Claras Tranque Talabre,11,27038
Laguna de Aguas Claras Tranque Talabre,12,29613
Laguna de Aguas Claras Tranque Ovejeria,1,733333
Laguna de Aguas Claras Tranque Ovejeria,2,733333
Laguna de Aguas Claras Tranque Ovejeria,3,700000
Laguna de Aguas Claras Tranque Ovejeria,4,666667
Laguna de Aguas Claras Tranque Ovejeria,5,633333
Laguna de Aguas Claras Tranque Ovejeria,6,600000
Laguna de Aguas Claras Tranque Ovejeria,7,600000
Laguna de Aguas Claras Tranque Ovejeria,8,633333
Laguna de Aguas Claras Tranque Ovejeria,9,666667
Laguna de Aguas Claras Tranque Ovejeria,10,700000
Laguna de Aguas Claras Tranque Ovejeria,11,700000
Laguna de Aguas Claras Tranque Ovejeria,12,766667
Laguna de Aguas Claras Tranque Pampa austral,1,65083
Laguna de Aguas Claras Tranque Pampa austral,2,65083
Laguna de Aguas Claras Tranque Pampa austral,3,62125
Laguna de Aguas Claras Tranque Pampa austral,4,59167
Laguna de Aguas Claras Tranque Pampa austral,5,56208
Laguna de Aguas Claras Tranque Pampa austral,6,53250
Laguna de Aguas Claras Tranque Pampa austral,7,53250
Laguna de Aguas Claras Tranque Pampa austral,8,56208
Laguna de Aguas Claras Tranque Pampa austral,9,59167
Laguna de Aguas Claras Tranque Pampa austral,10,62125
Laguna de Aguas Claras Tranque Pampa austral,11,62125
Laguna de Aguas Claras Tranque Pampa austral,12,68042
Laguna de Aguas Claras Caren,1,3483333
Laguna de Aguas Claras Caren,2,3483333
Laguna de Aguas Claras Caren,3,3325000
Laguna de Aguas Claras Caren,4,3166667
Laguna de Aguas Claras Caren,5,3008333
Laguna de Aguas Claras Caren,6,2850000
Laguna de Aguas Claras Caren,7,2850000
Laguna de Aguas Claras Caren,8,3008333
Laguna de Aguas Claras Caren,9,3166667
Laguna de Aguas Claras Caren,10,3325000
Laguna de Aguas Claras Caren,11,3325000
Laguna de Aguas Claras Caren,12,3641667
Cuenca del rio Loa,1,7021667
Cuenca del rio Loa,2,7021667
Cuenca del rio Loa,3,6702500
Cuenca del rio Loa,4,6383333
Cuenca del rio Loa,5,6064167
Cuenca del rio Loa,6,5745000
Cuenca del rio Loa,7,5745000
Cuenca del rio Loa,8,6064167
Cuenca del rio Loa,9,6383333
Cuenca del rio Loa,10,6702500
Cuenca del rio Loa,11,6702500
Cuenca del rio Loa,12,7341833
Cuenca del rio Salado,1,6720000
Cuenca del rio Salado,2,5880000
Cuenca del rio Salado,3,4200000
Cuenca del rio Salado,4,2100000
Cuenca del rio Salado,5,2100000
Cuenca del rio Salado,6,1260000
Cuenca del rio Salado,7,1680000
Cuenca del rio Salado,8,2520000
Cuenca del rio Salado,9,4200000
Cuenca del rio Salado,10,5880000
Cuenca del rio Salado,11,8400000
Cuenca del rio Salado,12,6720000
Cuenca del rio Maipo,1,175200000
Cuenca del rio Maipo,2,153200000
Cuenca del rio Maipo,3,109500000
Cuenca del rio Maipo,4,54750000
Cuenca del rio Maipo,5,54750000
Cuenca del rio Maipo,6,32850000
Cuenca del rio Maipo,7,43800000
Cuenca del rio Maipo,8,65700000
Cuenca del rio Maipo,9,109500000
Cuenca del rio Maipo,10,153300000
Cuenca del rio Maipo,11,219000000
Cuenca del rio Maipo,12,175200000
